Time,Event,Severity,Source,Destination,Confidence
12:46:38,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:38,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:38,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:39,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:39,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:39,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:40,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:40,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:40,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:40,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:41,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:46:41,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:46:41,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:46:41,NEW_THREAT,Low,142.250.203.142,192.168.0.127,0.09
12:46:42,NEW_THREAT,Low,192.168.0.127,178.235.152.12,0.09
12:46:42,NEW_THREAT,Low,178.235.152.12,192.168.0.127,0.09
12:46:42,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:42,NEW_THREAT,Low,192.168.0.127,216.58.208.214,0.09
12:46:42,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:42,NEW_THREAT,Low,216.58.208.214,192.168.0.127,0.09
12:46:42,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:46:42,NEW_THREAT,Low,192.168.0.1,224.0.0.22,0.09
